conId,status,error,expiry,K
869072844,failed,no bars,2026-11-20 00:00:00,245.0
838421060,failed,no bars,2026-11-20 00:00:00,280.0
838421424,failed,no bars,2026-11-20 00:00:00,320.0
838422999,failed,no bars,2026-11-20 00:00:00,470.0
838423408,failed,no bars,2026-11-20 00:00:00,505.0
910573158,failed,no bars,2027-02-19 00:00:00,245.0
910573556,failed,no bars,2027-02-19 00:00:00,280.0
910573957,failed,no bars,2027-02-19 00:00:00,320.0
910574319,failed,no bars,2027-02-19 00:00:00,355.0
910574800,failed,no bars,2027-02-19 00:00:00,395.0
910575731,failed,no bars,2027-02-19 00:00:00,470.0
910576122,failed,no bars,2027-02-19 00:00:00,505.0
800378165,failed,no bars,2027-06-17 00:00:00,245.0
800378458,failed,no bars,2027-06-17 00:00:00,280.0
800378835,failed,no bars,2027-06-17 00:00:00,320.0
800379115,failed,no bars,2027-06-17 00:00:00,355.0
800379480,failed,no bars,2027-06-17 00:00:00,395.0
800379908,failed,no bars,2027-06-17 00:00:00,430.0
801599430,failed,no bars,2027-06-17 00:00:00,470.0
817345716,failed,no bars,2027-06-17 00:00:00,505.0
887868891,failed,no bars,2027-09-17 00:00:00,245.0
887869234,failed,no bars,2027-09-17 00:00:00,280.0
887869656,failed,no bars,2027-09-17 00:00:00,320.0
887870079,failed,no bars,2027-09-17 00:00:00,355.0
887870478,failed,no bars,2027-09-17 00:00:00,395.0
887870856,failed,no bars,2027-09-17 00:00:00,430.0
887871279,failed,no bars,2027-09-17 00:00:00,470.0
887871646,failed,no bars,2027-09-17 00:00:00,505.0
816976072,failed,no bars,2028-01-21 00:00:00,245.0
814294797,failed,no bars,2028-01-21 00:00:00,280.0
814295236,failed,no bars,2028-01-21 00:00:00,320.0
814295637,failed,no bars,2028-01-21 00:00:00,355.0
814296088,failed,no bars,2028-01-21 00:00:00,395.0
816976417,failed,no bars,2028-01-21 00:00:00,430.0
816976882,failed,no bars,2028-01-21 00:00:00,470.0
817345992,failed,no bars,2028-01-21 00:00:00,505.0
852303270,failed,no bars,2028-06-16 00:00:00,245.0
852303719,failed,no bars,2028-06-16 00:00:00,280.0
851891480,failed,no bars,2028-06-16 00:00:00,320.0
852304325,failed,no bars,2028-06-16 00:00:00,355.0
852304600,failed,no bars,2028-06-16 00:00:00,395.0
851891950,failed,no bars,2028-06-16 00:00:00,430.0
851892108,failed,no bars,2028-06-16 00:00:00,470.0
852305409,failed,no bars,2028-06-16 00:00:00,505.0
869072787,failed,no bars,2026-11-20 00:00:00,240.0
838421112,failed,no bars,2026-11-20 00:00:00,285.0
838421385,failed,no bars,2026-11-20 00:00:00,315.0
838422937,failed,no bars,2026-11-20 00:00:00,465.0
838423481,failed,no bars,2026-11-20 00:00:00,510.0
868230581,failed,no bars,2027-03-19 00:00:00,245.0
851615269,failed,no bars,2027-03-19 00:00:00,280.0
910573911,failed,no bars,2027-02-19 00:00:00,315.0
848877673,failed,no bars,2027-03-19 00:00:00,355.0
910574719,failed,no bars,2027-02-19 00:00:00,390.0
910575677,failed,no bars,2027-02-19 00:00:00,465.0
848879001,failed,no bars,2027-03-19 00:00:00,505.0
800378135,failed,no bars,2027-06-17 00:00:00,240.0
897587418,failed,no bars,2027-06-30 00:00:00,280.0
800378798,failed,no bars,2027-06-17 00:00:00,315.0
897588922,failed,no bars,2027-06-30 00:00:00,356.0
897590697,failed,no bars,2027-06-30 00:00:00,393.0
897591919,failed,no bars,2027-06-30 00:00:00,430.0
801599385,failed,no bars,2027-06-17 00:00:00,465.0
909953505,failed,no bars,2027-06-30 00:00:00,505.0
887868844,failed,no bars,2027-09-17 00:00:00,240.0
887869299,failed,no bars,2027-09-17 00:00:00,285.0
887869620,failed,no bars,2027-09-17 00:00:00,315.0
887870134,failed,no bars,2027-09-17 00:00:00,360.0
887870430,failed,no bars,2027-09-17 00:00:00,390.0
887870918,failed,no bars,2027-09-17 00:00:00,435.0
