mine,ownership_pct,quarter,attributable_production_koz,ore_processed_kt,processed_grade_g_per_t,recovery_pct,cost_of_sales_usd_per_oz
Carlin,61.5,2026Q1,173,1500,4.42,82,1794
Cortez,61.5,2026Q1,89,4425,0.87,81,2149
Turquoise Ridge,61.5,2026Q1,91,713,4.70,86,1327
Pueblo Viejo,60.0,2026Q1,81,1574,2.29,74,1702
Loulo-Gounkoto,80.0,2026Q1,64,689,3.13,92,2801
Kibali,45.0,2026Q1,58,910,2.24,89,1906
North Mara,84.0,2026Q1,33,664,1.81,85,2287
Bulyanhulu,84.0,2026Q1,33,204,5.15,96,2008
Carlin,61.5,2026Q2,172,2016,3.23,81,1856
Cortez,61.5,2026Q2,104,3698,1.16,83,2267
Turquoise Ridge,61.5,2026Q2,80,572,4.88,86,1657
Pueblo Viejo,60.0,2026Q2,112,1862,2.28,75,1683
Loulo-Gounkoto,80.0,2026Q2,88,914,3.25,92,2352
Kibali,45.0,2026Q2,76,923,2.82,90,1873
North Mara,84.0,2026Q2,35,688,1.80,85,2736
Bulyanhulu,84.0,2026Q2,44,236,6.03,97,1854
