model_id,quarter,p10_gold_usd_per_oz,p50_gold_usd_per_oz,p90_gold_usd_per_oz
black_scholes,1,3728.8585139662146,4419.142004981094,5245.571331433667
black_scholes,2,3483.693220224346,4421.631023252916,5620.741356198497
black_scholes,3,3308.5317691679306,4430.421960187816,5981.437180366439
black_scholes,4,3157.84115709938,4439.235739914078,6231.087718633799
black_scholes,5,3038.543285376015,4444.227468121804,6545.755167096823
black_scholes,6,2942.3621859057453,4447.871513863325,6771.651179502137
black_scholes,7,2855.709107771764,4467.568357538547,7044.5835805023335
black_scholes,8,2775.35562149736,4459.607136335739,7301.2253203240025
black_scholes,9,2704.1545115579397,4466.473567573397,7494.285174365897
black_scholes,10,2621.1506258102563,4503.496752484363,7771.874319887779
black_scholes,11,2555.8895884374033,4501.088844311473,7988.7159294848225
black_scholes,12,2488.679238047273,4528.8589838929,8162.32554483877
black_scholes,13,2454.026317507612,4556.57039330384,8370.392735153284
black_scholes,14,2386.156995548161,4552.355341269959,8509.475570658507
black_scholes,15,2351.6758587284116,4534.005304858856,8758.596746172567
black_scholes,16,2309.837030615078,4571.698351804582,8960.929842294983
black_scholes,17,2259.371278406277,4566.922883118664,9171.41414635501
black_scholes,18,2222.625954093834,4566.408971255232,9399.82577029873
black_scholes,19,2182.1902404511493,4588.330842546322,9630.688807097507
black_scholes,20,2129.3146768761594,4585.355370815389,9878.05274488486
heston,1,3718.203363551106,4414.756902456029,5268.030184549056
heston,2,3537.075712932058,4423.474605576128,5558.550756054375
heston,3,3429.285543821636,4442.4852776892185,5802.323447168421
heston,4,3378.1839626617034,4471.885459993193,5982.0396863212645
heston,5,3317.0959431254914,4494.6534318226895,6177.304291302306
heston,6,3268.6555808525045,4525.778609598253,6349.882716400451
heston,7,3224.242510436319,4550.441888038057,6542.960585484801
heston,8,3159.1628972235258,4594.9857286194765,6754.024828711822
heston,9,3131.911580318655,4636.775023295066,6851.213451592737
heston,10,3105.532716449247,4673.666473781334,7038.353011363894
heston,11,3075.3727484194897,4697.518618242369,7169.234617753479
heston,12,3073.0729420208927,4722.79469561773,7316.120604843498
heston,13,3036.8509954298447,4759.653744230118,7483.014859265919
heston,14,3019.5355111960394,4789.0335323850295,7633.965824674484
heston,15,2991.3040072118124,4811.054124059722,7805.25791205302
heston,16,2971.7893401569304,4874.13075268161,7971.171816334268
heston,17,2960.7970476827536,4898.202903577072,8101.414215195479
heston,18,2945.459293411268,4945.206269632023,8294.369339500417
heston,19,2924.4351014011913,4970.114889926415,8523.444569704354
heston,20,2903.964491213836,4998.313906783622,8646.723688154236
bates_poisson,1,3836.129577446263,4409.0209003643085,5194.593246749314
bates_poisson,2,3525.7587552736813,4397.091116619809,5536.86191313757
bates_poisson,3,3228.9688200536116,4368.123787036933,5980.624261927332
bates_poisson,4,3026.7294171213825,4414.251372017208,6474.690179191484
bates_poisson,5,2802.555008024137,4349.418635745986,6767.36171656336
bates_poisson,6,2580.6194365596552,4267.283930286034,7264.972558710963
bates_poisson,7,2447.2178311200128,4296.851484618356,7767.786126793109
bates_poisson,8,2265.7608644987026,4260.955347214163,8119.704683818672
bates_poisson,9,2189.36158791847,4274.998407213638,8604.503684386842
bates_poisson,10,1983.2512160876465,4146.388538349679,8741.596647955768
bates_poisson,11,1875.7842340279199,4109.670687923308,8950.134334738863
bates_poisson,12,1759.4818525911396,4053.7986825387916,9467.006611555575
bates_poisson,13,1692.372622880935,4090.380338746702,10028.056069917251
bates_poisson,14,1604.371596677822,4066.2426878722667,10549.036386778724
bates_poisson,15,1515.8220852496015,4103.502965454247,10972.5395561911
bates_poisson,16,1423.6185939129816,3987.350152788309,11279.525334897055
bates_poisson,17,1295.612353828112,3822.5436718652154,11212.152246832658
bates_poisson,18,1238.6971701029497,3815.6730007366946,11840.336635595648
bates_poisson,19,1169.9244567361313,3719.3181199924593,11817.887232379955
bates_poisson,20,1095.1954711572316,3649.8633201779294,12391.165131219777
full_bates_hawkes,1,3791.7122294519477,4408.0899337407245,5194.215385928847
full_bates_hawkes,2,3529.936372757942,4421.414267291307,5602.09039495303
full_bates_hawkes,3,3334.051269400558,4429.635295747691,5928.450300890282
full_bates_hawkes,4,3201.2878030926413,4440.3600019155,6224.5475687726985
full_bates_hawkes,5,3088.5727770042713,4463.616592688117,6496.373746502111
full_bates_hawkes,6,2980.279193445425,4451.2894778637265,6735.932133423066
full_bates_hawkes,7,2896.6222536339114,4463.243491985779,6954.146196780266
full_bates_hawkes,8,2834.5340164129634,4487.0765077042415,7185.9479857017195
full_bates_hawkes,9,2756.619638439741,4505.060255717912,7409.329212609209
full_bates_hawkes,10,2705.006116410264,4507.058266292635,7607.652461700182
full_bates_hawkes,11,2646.574538511524,4529.1986656451645,7781.389913206217
full_bates_hawkes,12,2601.040015133705,4521.207431524761,7984.778870160042
full_bates_hawkes,13,2567.995214442756,4545.455912226749,8164.730795538407
full_bates_hawkes,14,2512.423821052694,4567.4586061570235,8403.054251075555
full_bates_hawkes,15,2472.178590010399,4568.308306864858,8626.87034745005
full_bates_hawkes,16,2439.2869215033656,4584.515376125621,8804.590895429583
full_bates_hawkes,17,2422.035118573273,4600.741097180775,8997.402045196111
full_bates_hawkes,18,2378.243458514353,4633.395481667138,9286.042260431233
full_bates_hawkes,19,2328.1236129707504,4654.305663831779,9484.137618756822
full_bates_hawkes,20,2292.1044676756533,4667.8829031887135,9774.836123959627
