image,classification,article_files,generated_output,article_sha256,output_sha256,hash_match,generators,generator_files_exist,inputs,input_files_exist,status
img/diagnostics/online_oos_r2_by_benchmark.png,FROZEN_LEGACY,chapters/09-option-calibration.tex,outputs/figures/team-8/online_oos_r2_by_benchmark.png,84ABF73B4D15F1BF411183A9E1D8DF08195C1D58AF7C70D7DA5B40783F9BE7FD,84ABF73B4D15F1BF411183A9E1D8DF08195C1D58AF7C70D7DA5B40783F9BE7FD,True,tools/build_team8_oos_r2_figure.py,True,parity/sources/team-8/Data/online_validation_metrics.csv; parity/sources/team-8/Data/online_validation_design.json,True,PASS
img/lse/gld_option_surface_20260826.png,CURRENT,chapters/09-current-lse-surface.tex,figures/current/20260828T070000Z-lse-nss/gld_lse_option_surface_audit.png,38468DD7E1D59770A78BDE7CDB5C4A826855980302D359880A56A9427ECFB2D1,38468DD7E1D59770A78BDE7CDB5C4A826855980302D359880A56A9427ECFB2D1,True,run_research_snapshot.py; src/barrick_unified/team8_option_audit.py,True,data/manifests/20260828T070000Z-lse-nss/gld_option_surface_manifest.json,True,PASS
img/lse/lse_market_context_20260826.png,CURRENT,chapters/03-current-lse-diagnostics.tex,figures/current/20260828T070000Z-lse-nss/lse_market_context.png,C54039731F560057BBC627E673D142E96B52938F8E2983C2F164F6D4FD443BE2,C54039731F560057BBC627E673D142E96B52938F8E2983C2F164F6D4FD443BE2,True,run_research_snapshot.py; src/barrick_unified/research_snapshot.py,True,data/manifests/20260828T070000Z-lse-nss/run_manifest.json,True,PASS
img/team4_current/team4_mine_cost_qoq.png,CURRENT,chapters/10-team4-operations-evidence.tex,outputs/thesis/20260828T180000Z-unificato-publication/team4_operations/team4_mine_cost_qoq.png,CE40D43C378D1FA20BCD757AA0E9ED5908EA2AF83C5A033AC3B9ADDF61F82294,CE40D43C378D1FA20BCD757AA0E9ED5908EA2AF83C5A033AC3B9ADDF61F82294,True,tools/build_team4_operating_figures.py; src/barrick_unified/team4_operating_figures.py,True,data/manifests/team4/barrick_operating_q1_q2_2026_manifest.json; outputs/thesis/20260828T180000Z-unificato-publication/team4_operations/figure_manifest.json,True,PASS
img/team4_current/team4_mine_production_qoq.png,CURRENT,chapters/10-team4-operations-evidence.tex,outputs/thesis/20260828T180000Z-unificato-publication/team4_operations/team4_mine_production_qoq.png,50B961F87C5F443EC499B88D22590F7DF10CE7A145B2BD5580DC5FD561DBB2F0,50B961F87C5F443EC499B88D22590F7DF10CE7A145B2BD5580DC5FD561DBB2F0,True,tools/build_team4_operating_figures.py; src/barrick_unified/team4_operating_figures.py,True,data/manifests/team4/barrick_operating_q1_q2_2026_manifest.json; outputs/thesis/20260828T180000Z-unificato-publication/team4_operations/figure_manifest.json,True,PASS
img/team4_current/team4_operating_contract.png,MIXED_CURRENT_FORECAST,chapters/10-team4-operations-evidence.tex,outputs/thesis/20260828T180000Z-unificato-publication/team4_operations/team4_operating_contract.png,A5190673372D95DD02D7A2E1CB6B791B1A5FA642D8F5C3885F0BB01A123E7290,A5190673372D95DD02D7A2E1CB6B791B1A5FA642D8F5C3885F0BB01A123E7290,True,tools/build_team4_operating_figures.py; src/barrick_unified/team4_operating_figures.py,True,data/manifests/team4/barrick_operating_q1_q2_2026_manifest.json; outputs/thesis/20260828T180000Z-unificato-publication/team4_operations/figure_manifest.json,True,PASS
img/team4_current/team4_process_components_qoq.png,CURRENT,chapters/10-team4-operations-evidence.tex,outputs/thesis/20260828T180000Z-unificato-publication/team4_operations/team4_process_components_qoq.png,1DDC31B9D77B0AB4AF2CB886C93C598343F30CB64AC5F920AEBFE34D9952CB08,1DDC31B9D77B0AB4AF2CB886C93C598343F30CB64AC5F920AEBFE34D9952CB08,True,tools/build_team4_operating_figures.py; src/barrick_unified/team4_operating_figures.py,True,data/manifests/team4/barrick_operating_q1_q2_2026_manifest.json; outputs/thesis/20260828T180000Z-unificato-publication/team4_operations/figure_manifest.json,True,PASS
img/team7_empirical/acf_abs_returns_gold_silver.png,CURRENT,chapters/07-gold-econometrics.tex,outputs/thesis/20260828T180000Z-unificato-publication/team7_empirical/acf_abs_returns_gold_silver.png,947D32538E7A36B6C45C304D48BD12730C12F07827A921C741C50C7391AB2BCB,947D32538E7A36B6C45C304D48BD12730C12F07827A921C741C50C7391AB2BCB,True,run_empirical_thesis_figures.py; src/barrick_unified/empirical_figures.py,True,data/manifests/20260827T173500Z-codefig-v11-lse/empirical_figure_inputs_manifest.json,True,PASS
img/team7_empirical/acf_grid_gold_silver.png,CURRENT,chapters/07-gold-econometrics.tex,outputs/thesis/20260828T180000Z-unificato-publication/team7_empirical/acf_grid_gold_silver.png,0BC50334767C3172C01DAEF7F95D74E9D4C4A7821EAFE18925860678747803B2,0BC50334767C3172C01DAEF7F95D74E9D4C4A7821EAFE18925860678747803B2,True,run_empirical_thesis_figures.py; src/barrick_unified/empirical_figures.py,True,data/manifests/20260827T173500Z-codefig-v11-lse/empirical_figure_inputs_manifest.json,True,PASS
img/team7_empirical/arfima_fd_gold.png,CURRENT,chapters/07-gold-econometrics.tex,outputs/thesis/20260828T180000Z-unificato-publication/team7_empirical/arfima_fd_gold.png,1ED7701F31854135E5909126494393F7F8E82A42B46B7F4A52E4CD4D091A6FEA,1ED7701F31854135E5909126494393F7F8E82A42B46B7F4A52E4CD4D091A6FEA,True,run_empirical_thesis_figures.py; src/barrick_unified/empirical_figures.py,True,data/manifests/20260827T173500Z-codefig-v11-lse/empirical_figure_inputs_manifest.json,True,PASS
img/team7_empirical/arfima_fd_silver.png,CURRENT,chapters/07-gold-econometrics.tex,outputs/thesis/20260828T180000Z-unificato-publication/team7_empirical/arfima_fd_silver.png,85BB9AD60D5B65C915D464FBA08C93E79D764192968FF496DA309F1B9E90F246,85BB9AD60D5B65C915D464FBA08C93E79D764192968FF496DA309F1B9E90F246,True,run_empirical_thesis_figures.py; src/barrick_unified/empirical_figures.py,True,data/manifests/20260827T173500Z-codefig-v11-lse/empirical_figure_inputs_manifest.json,True,PASS
img/team7_empirical/correlation_heatmap.png,CURRENT,chapters/07-gold-econometrics.tex,outputs/thesis/20260828T180000Z-unificato-publication/team7_empirical/correlation_heatmap.png,208A6C6457382403161BFFEBEE50C06D5B63B1A68852A583D6B578DE841D9A74,208A6C6457382403161BFFEBEE50C06D5B63B1A68852A583D6B578DE841D9A74,True,run_empirical_thesis_figures.py; src/barrick_unified/empirical_figures.py,True,data/manifests/20260827T173500Z-codefig-v11-lse/empirical_figure_inputs_manifest.json,True,PASS
