percentile,GBM / BS,Heston,Bates,Full Bates--Hawkes
0,-85.294168592785,-76.0063449763654,-97.29180727134893,-86.92994954165056
1,-73.61013644906862,-57.4877433001577,-91.87161865258392,-71.50428814983604
2,-69.51813139019177,-53.251558963297214,-88.89493793082373,-68.41316566314752
3,-66.60468542674597,-49.67900291195028,-86.99685921275176,-64.78658190575376
4,-63.99428606211475,-45.99077511427175,-85.18832714578808,-61.91985516433942
5,-62.055294746491356,-43.968166004658755,-83.63248913195756,-59.27679872907112
6,-59.729347585945824,-41.76005365440439,-82.13703264370407,-57.04500249394872
7,-57.46232864485492,-39.16986248245565,-81.03386500411065,-54.39079475260757
8,-55.368958931131,-37.6022863858214,-79.90924214271277,-52.797416979222724
9,-53.605620154014815,-35.92686172525579,-78.57522064445519,-50.86649032889669
10,-52.078820952550615,-34.05623580097067,-77.350658789748,-49.47097570943397
11,-50.24169795299143,-32.51861534856829,-76.29523653408297,-47.53957648324181
12,-48.42232616735375,-31.176641478701054,-75.03494277345585,-46.044772652499475
13,-47.34014314492164,-29.639250792421187,-73.8134350610254,-44.27620217345667
14,-45.72054426747198,-28.078490335521682,-72.52645901011628,-43.06936183675552
15,-44.38288374734788,-27.024348049927383,-71.3618622157136,-41.87012056071732
16,-43.0645090477325,-25.6291432762839,-70.47085153632987,-40.60162535501611
17,-41.789336597081245,-24.053503055480412,-69.24032514699165,-39.334166386763194
18,-40.217994292158494,-22.948275960898716,-68.02228153338888,-37.87994877584545
19,-38.29452539155005,-21.885915662378185,-66.69734644791856,-36.498527862076436
20,-36.966166713076944,-20.612625584689003,-65.85557605569541,-35.20429767380116
21,-35.346419990963184,-19.35216840956535,-64.69237099416358,-33.67200732952529
22,-33.91157469764853,-18.352185733193412,-63.51546949195137,-32.26020588907446
23,-32.54167601997217,-17.263113978592557,-62.331565281283574,-31.1504148111746
24,-31.42798874154659,-16.246187000212874,-61.065312154468884,-29.725186488995465
25,-30.112097945176778,-15.178953571233055,-59.891903737129695,-28.4317864794721
26,-28.326425307242513,-14.151268287866435,-58.62161534100931,-27.435503941958686
27,-26.89610216095146,-13.230372253831106,-57.57029577596045,-26.378248838100728
28,-25.46272929000061,-11.963029357238337,-56.35670488360853,-25.193253280810918
29,-24.12013730447249,-11.115582617913839,-54.81237257957483,-23.941748686073666
30,-22.478331966034037,-10.157158814868007,-53.403622901518055,-22.532846946525936
31,-21.347541460953103,-9.101092624313539,-51.99614327137346,-21.234051642779672
32,-19.959212548308273,-8.236310071932923,-50.40582215188155,-20.232540754748907
33,-18.804745039527784,-7.121876455795984,-49.017935736732944,-18.85648509695327
34,-17.472977544331094,-6.009131891026696,-47.853400016980736,-17.735092409413507
35,-16.118600938588667,-4.925465829966183,-46.55475740035688,-16.24677458580013
36,-14.906505064413453,-3.8359848906623206,-45.14826288073974,-15.010542896627872
37,-13.587378387794645,-2.8453416652382844,-44.13687123071631,-13.603642521363488
38,-12.018057859451684,-1.9620149707574013,-42.85751212243899,-12.714282247926471
39,-10.749425682214714,-0.9688223304060601,-41.8228206514469,-10.960183324679189
40,-9.136990323228677,0.17953552516676297,-40.27102557907259,-9.491606260160768
41,-7.855684493858777,1.1971508418448875,-38.62591101440864,-8.160717607738803
42,-6.354688224870199,2.1766106667178056,-37.068634883156996,-6.7142797849987215
