quantile,bridge_item,value_usd_mn
P10,enterprise_value_proxy,3351.414765192329
P10,less_debt,-0.0
P10,add_cash,0.0
P10,less_minority_interest,-0.0
P10,add_non_operating_assets,0.0
P10,less_other_claims,-0.0
P10,equity_value_proxy,3351.414765192329
P50,enterprise_value_proxy,56981.9925911621
P50,less_debt,-0.0
P50,add_cash,0.0
P50,less_minority_interest,-0.0
P50,add_non_operating_assets,0.0
P50,less_other_claims,-0.0
P50,equity_value_proxy,56981.9925911621
P90,enterprise_value_proxy,197195.42071162007
P90,less_debt,-0.0
P90,add_cash,0.0
P90,less_minority_interest,-0.0
P90,add_non_operating_assets,0.0
P90,less_other_claims,-0.0
P90,equity_value_proxy,197195.42071162007
