model_id,model,quantile_pct,enterprise_value_proxy_usd_mn,equity_value_proxy_usd_mn,value_per_share_proxy_usd
black_scholes,Black–Scholes / GBM,1,385.4290447035346,385.4290447035346,0.2300368512891804
black_scholes,Black–Scholes / GBM,5,3692.436851406939,3692.436851406939,2.2037689129918285
black_scholes,Black–Scholes / GBM,10,8176.4252972427485,8176.4252972427485,4.879962099445989
black_scholes,Black–Scholes / GBM,25,30174.685636712627,30174.685636712627,18.009254278824137
black_scholes,Black–Scholes / GBM,50,65835.04267788233,65835.04267788233,39.29253939271167
black_scholes,Black–Scholes / GBM,75,115770.60299837099,115770.60299837099,69.09573980362457
black_scholes,Black–Scholes / GBM,90,180629.19574397977,180629.19574397977,107.80550145566411
black_scholes,Black–Scholes / GBM,95,226816.90391432832,226816.90391432832,135.37185926334567
black_scholes,Black–Scholes / GBM,99,359181.9422881839,359181.9422881839,214.37170908450793
heston,Heston,1,1027.1253936285261,1027.1253936285261,0.6130225385873711
heston,Heston,5,5047.015279363573,5047.015279363573,3.012226294897418
heston,Heston,10,12867.069182751029,12867.069182751029,7.679494113882358
heston,Heston,25,34894.23640569815,34894.23640569815,20.826038881115693
heston,Heston,50,67019.56537578712,67019.56537578712,39.9995018685577
heston,Heston,75,113642.5217922548,113642.5217922548,67.82563028108146
heston,Heston,90,169525.4688039194,169525.4688039194,101.17842854051565
heston,Heston,95,213440.84359610575,213440.84359610575,127.38858233976865
heston,Heston,99,331914.60938094003,331914.60938094003,198.0976594475354
bates_poisson,Bates–Poisson,1,632.5233522810721,632.5233522810721,0.37751093832986504
bates_poisson,Bates–Poisson,5,4382.297258619874,4382.297258619874,2.6155005094686836
bates_poisson,Bates–Poisson,10,10324.695965728815,10324.695965728815,6.16212136348265
bates_poisson,Bates–Poisson,25,32144.26998503747,32144.26998503747,19.18476761406227
bates_poisson,Bates–Poisson,50,64901.35600631456,64901.35600631456,38.735284185898365
bates_poisson,Bates–Poisson,75,113901.02645453362,113901.02645453362,67.97991444666617
bates_poisson,Bates–Poisson,90,173459.03493004342,173459.03493004342,103.52611141087992
bates_poisson,Bates–Poisson,95,218914.6242091701,218914.6242091701,130.65551635571862
bates_poisson,Bates–Poisson,99,356420.75030629267,356420.75030629267,212.72373802978953
full_bates_hawkes,Full Bates–Hawkes,1,385.68580425942014,385.68580425942014,0.23019009391732675
full_bates_hawkes,Full Bates–Hawkes,5,4159.247168000266,4159.247168000266,2.4823768094492222
full_bates_hawkes,Full Bates–Hawkes,10,8663.62877930452,8663.62877930452,5.170741314169727
full_bates_hawkes,Full Bates–Hawkes,25,31461.599112680058,31461.599112680058,18.777326970701495
full_bates_hawkes,Full Bates–Hawkes,50,65167.46406823813,65167.46406823813,38.894106312846915
full_bates_hawkes,Full Bates–Hawkes,75,111742.55702553522,111742.55702553522,66.69166822372605
full_bates_hawkes,Full Bates–Hawkes,90,174582.85008178197,174582.85008178197,104.19684160749979
full_bates_hawkes,Full Bates–Hawkes,95,226030.91422288664,226030.91422288664,134.9027545182581
full_bates_hawkes,Full Bates–Hawkes,99,363814.4401782343,363814.4401782343,217.13653763823214
