model_id,model,quantile_pct,enterprise_value_proxy_usd_mn,equity_value_proxy_usd_mn,value_per_share_proxy_usd
black_scholes,Black-Scholes / GBM,1,-568.0782388043781,-568.0782388043781,-0.3390479548342762
black_scholes,Black-Scholes / GBM,5,2791.2963297160113,2791.2963297160113,1.6659383290556375
black_scholes,Black-Scholes / GBM,10,6217.484650557598,6217.484650557598,3.7108012787495137
black_scholes,Black-Scholes / GBM,25,26364.770270424407,26364.770270424407,15.73537028750912
black_scholes,Black-Scholes / GBM,50,60096.53983657478,60096.53983657478,35.867610361367454
black_scholes,Black-Scholes / GBM,75,108103.03001054857,108103.03001054857,64.51947765787645
black_scholes,Black-Scholes / GBM,90,173386.9468425005,173386.9468425005,103.48308684669176
black_scholes,Black-Scholes / GBM,95,222174.65370110763,222174.65370110763,132.60121019934684
black_scholes,Black-Scholes / GBM,99,358228.0708760647,358228.0708760647,213.80240695433912
heston,Heston,1,-1489.7924148190787,-1489.7924148190787,-0.8891575787784487
heston,Heston,5,2255.790272754225,2255.790272754225,1.3463305338399802
heston,Heston,10,5479.436903696566,5479.436903696566,3.270309878005244
heston,Heston,25,25915.430505714332,25915.430505714332,15.46718939649082
heston,Heston,50,59773.38085299532,59773.38085299532,35.6747383501115
heston,Heston,75,108693.43305819886,108693.43305819886,64.87184979988115
heston,Heston,90,173636.1766582966,173636.1766582966,103.63183547594261
heston,Heston,95,230115.16430092743,230115.16430092743,137.34037057428927
heston,Heston,99,365858.87425610365,365858.87425610365,218.35672377729983
bates_poisson,Bates-Poisson,1,-1234.9061223543065,-1234.9061223543065,-0.7370329764395954
bates_poisson,Bates-Poisson,5,2530.72605325783,2530.72605325783,1.5104213363440564
bates_poisson,Bates-Poisson,10,5996.709714230236,5996.709714230236,3.579035466353669
bates_poisson,Bates-Poisson,25,26620.05670424825,26620.05670424825,15.887733707496974
bates_poisson,Bates-Poisson,50,60056.29222673176,60056.29222673176,35.84358925147075
bates_poisson,Bates-Poisson,75,108562.78523903785,108562.78523903785,64.79387484350309
bates_poisson,Bates-Poisson,90,169947.56920762284,169947.56920762284,101.43035207645603
bates_poisson,Bates-Poisson,95,220253.099574611,220253.099574611,131.45436289524443
bates_poisson,Bates-Poisson,99,334371.5957695813,334371.5957695813,199.5640705036564
full_bates_hawkes,Full Bates-Hawkes,1,-1766.6393248152285,-1766.6393248152285,-1.0543890068189556
full_bates_hawkes,Full Bates-Hawkes,5,2233.3256042539224,2233.3256042539224,1.3329228737840553
full_bates_hawkes,Full Bates-Hawkes,10,5243.767909100195,5243.767909100195,3.129654797106669
full_bates_hawkes,Full Bates-Hawkes,25,24885.12178433101,24885.12178433101,14.852266942203277
full_bates_hawkes,Full Bates-Hawkes,50,58879.42927436468,58879.42927436468,35.14119836608835
full_bates_hawkes,Full Bates-Hawkes,75,109305.42161344331,109305.42161344331,65.23710488952219
full_bates_hawkes,Full Bates-Hawkes,90,175460.81577251398,175460.81577251398,104.72084068284522
full_bates_hawkes,Full Bates-Hawkes,95,225128.5126218542,225128.5126218542,134.36417128029925
full_bates_hawkes,Full Bates-Hawkes,99,362344.50499743974,362344.50499743974,216.25923151603973
