date,timestamp,expiry,K,price,conId,localSymbol,T,dte,moneyness,rate,implied_vol,vega,spot,curve_date
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,360.0,69.78,838421860,GLD   261120C00360000,0.24914442162902123,91,0.8503401360544217,0.03778447181179559,0.28467277801251034,37.24361041812979,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,370.0,60.9,838421990,GLD   261120C00370000,0.24914442162902123,91,0.8739606953892668,0.03778447181179559,0.27472579993335533,45.04263046431446,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,445.0,15.0,838422733,GLD   261120C00445000,0.24914442162902123,91,1.0511148904006047,0.03778447181179559,0.2637264390797355,81.88314462394557,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,455.0,12.13,838422824,GLD   261120C00455000,0.24914442162902123,91,1.0747354497354498,0.03778447181179559,0.2680713352064602,77.77851924719467,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,465.0,9.7,838422937,GLD   261120C00465000,0.24914442162902123,91,1.0983560090702948,0.03778447181179559,0.2713190714648924,72.24984945886838,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,475.0,7.78,838423049,GLD   261120C00475000,0.24914442162902123,91,1.1219765684051397,0.03778447181179559,0.27541130948700016,65.98461580417445,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,485.0,6.23,838423163,GLD   261120C00485000,0.24914442162902123,91,1.1455971277399848,0.03778447181179559,0.2794811869013124,59.383858255717236,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,495.0,5.03,838423289,GLD   261120C00495000,0.24914442162902123,91,1.1692176870748299,0.03778447181179559,0.2843762228962965,52.96816600676168,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-11-20,505.0,4.13,838423408,GLD   261120C00505000,0.24914442162902123,91,1.192838246409675,0.03778447181179559,0.2905588704169729,47.13055982164664,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,360.0,71.88,843267204,GLD   261218C00360000,0.3258042436687201,119,0.8503401360544217,0.038038928310919845,0.27524269225066533,47.526535717570646,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,370.0,63.25,843267291,GLD   261218C00370000,0.3258042436687201,119,0.8739606953892668,0.038038928310919845,0.26716548379519955,56.07935301623291,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,445.0,18.35,843268027,GLD   261218C00445000,0.3258042436687201,119,1.0511148904006047,0.038038928310919845,0.26107846256392087,94.9088702650053,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,455.0,15.1,843268128,GLD   261218C00455000,0.3258042436687201,119,1.0747354497354498,0.038038928310919845,0.26274151996327566,91.50569773775686,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,465.0,12.4,843268254,GLD   261218C00465000,0.3258042436687201,119,1.0983560090702948,0.038038928310919845,0.26496088246302685,86.6162560873149,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,475.0,10.25,843268355,GLD   261218C00475000,0.3258042436687201,119,1.1219765684051397,0.038038928310919845,0.2685514410178177,80.84499024116607,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,485.0,8.57,843268444,GLD   261218C00485000,0.3258042436687201,119,1.1455971277399848,0.038038928310919845,0.2735573487478309,74.76273632779717,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,495.0,7.05,843268554,GLD   261218C00495000,0.3258042436687201,119,1.1692176870748299,0.038038928310919845,0.2766469216567464,68.16587022286973,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-18,505.0,5.95,843268693,GLD   261218C00505000,0.3258042436687201,119,1.192838246409675,0.038038928310919845,0.2822227035856806,62.14209087334443,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,360.0,73.2,843070010,GLD   261231C00360000,0.3613963039014374,132,0.8503401360544217,0.038152837065717995,0.2787836961223744,53.41537149600611,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,370.0,64.53,843070396,GLD   261231C00370000,0.3613963039014374,132,0.8739606953892668,0.038152837065717995,0.26808780997330317,61.45711024069626,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,381.0,55.93,843070940,GLD   261231C00381000,0.3613963039014374,132,0.8999433106575964,0.038152837065717995,0.26512526692291727,72.08843469848915,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,392.0,47.88,843071386,GLD   261231C00392000,0.3613963039014374,132,0.9259259259259259,0.038152837065717995,0.26199524748353287,81.93506683069167,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,402.0,41.03,843071894,GLD   261231C00402000,0.3613963039014374,132,0.9495464852607709,0.038152837065717995,0.25837128305612145,89.61497947624784,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,413.0,34.38,843072414,GLD   261231C00413000,0.3613963039014374,132,0.9755291005291005,0.038152837065717995,0.25706356467818836,96.25409198933811,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,423.0,29.05,843072949,GLD   261231C00423000,0.3613963039014374,132,0.9991496598639455,0.038152837065717995,0.25679043185627093,100.04295649920091,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,434.0,23.85,843073489,GLD   261231C00434000,0.3613963039014374,132,1.0251322751322751,0.038152837065717995,0.2562008792049252,101.53259213234723,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,445.0,19.75,843073788,GLD   261231C00445000,0.3613963039014374,132,1.0511148904006047,0.038152837065717995,0.2595695266549476,100.35123361921738,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,455.0,16.5,843073889,GLD   261231C00455000,0.3613963039014374,132,1.0747354497354498,0.038152837065717995,0.2618367954297923,97.30812341305075,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,465.0,13.55,843073971,GLD   261231C00465000,0.3613963039014374,132,1.0983560090702948,0.038152837065717995,0.2621746445630677,92.6100195667121,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,475.0,11.45,843074064,GLD   261231C00475000,0.3613963039014374,132,1.1219765684051397,0.038152837065717995,0.2671332048003562,87.25681477807325,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,485.0,9.6,843074169,GLD   261231C00485000,0.3613963039014374,132,1.1455971277399848,0.038152837065717995,0.2709626241917722,81.21032074777273,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,495.0,8.1,843074272,GLD   261231C00495000,0.3613963039014374,132,1.1692176870748299,0.038152837065717995,0.2754212837522849,75.01148043448816,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2026-12-31,505.0,6.8,843610014,GLD   261231C00505000,0.3613963039014374,132,1.192838246409675,0.038152837065717995,0.2791736796506682,68.65688445704158,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,339.0,92.68,811875143,GLD   270115C00339000,0.4024640657084189,147,0.8007369614512472,0.03828104525458883,0.28856523736817763,40.802093071638176,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,349.0,83.2,811875601,GLD   270115C00349000,0.4024640657084189,147,0.8243575207860921,0.03828104525458883,0.2695147073174827,45.71147213104699,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,360.0,74.1,731137705,GLD   270115C00360000,0.4024640657084189,147,0.8503401360544217,0.03828104525458883,0.27161472321627655,57.4562733375207,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,370.0,65.72,731137800,GLD   270115C00370000,0.4024640657084189,147,0.8739606953892668,0.03828104525458883,0.2650145535095595,66.48246091703984,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,445.0,21.18,776885456,GLD   270115C00445000,0.4024640657084189,147,1.0511148904006047,0.03828104525458883,0.25689585546320304,106.24816526861643,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,455.0,17.7,778908583,GLD   270115C00455000,0.4024640657084189,147,1.0747354497354498,0.03828104525458883,0.25743382318886,103.44201190170986,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,465.0,15.0,779174794,GLD   270115C00465000,0.4024640657084189,147,1.0983560090702948,0.03828104525458883,0.2610182630767115,99.27387370273861,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,475.0,12.7,813159158,GLD   270115C00475000,0.4024640657084189,147,1.1219765684051397,0.03828104525458883,0.2645792992963456,94.08265245296825,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,485.0,10.7,813159217,GLD   270115C00485000,0.4024640657084189,147,1.1455971277399848,0.03828104525458883,0.26756634495360787,88.1300910294584,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,495.0,8.95,813159265,GLD   270115C00495000,0.4024640657084189,147,1.1692176870748299,0.03828104525458883,0.26982223319420595,81.62227936394238,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-01-15,505.0,7.68,817345507,GLD   270115C00505000,0.4024640657084189,147,1.192838246409675,0.03828104525458883,0.27478919379310696,75.54856348207775,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,360.0,76.4,910574390,GLD   270219C00360000,0.49828884325804246,182,0.8503401360544217,0.03856725605494343,0.26232324342103674,67.12426129562883,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,370.0,68.25,910574501,GLD   270219C00370000,0.49828884325804246,182,0.8739606953892668,0.03856725605494343,0.25733356831884024,76.77112115252982,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,445.0,24.33,910575458,GLD   270219C00445000,0.49828884325804246,182,1.0511148904006047,0.03856725605494343,0.2519500075248069,118.81000395864781,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,455.0,20.83,910575565,GLD   270219C00455000,0.49828884325804246,182,1.0747354497354498,0.03856725605494343,0.25332057960620147,116.7157188656624,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,465.0,17.75,910575677,GLD   270219C00465000,0.49828884325804246,182,1.0983560090702948,0.03856725605494343,0.2545285273921676,113.07709282538133,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,475.0,15.25,910575787,GLD   270219C00475000,0.49828884325804246,182,1.1219765684051397,0.03856725605494343,0.25738299261936926,108.37282856336658,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,485.0,13.05,910575902,GLD   270219C00485000,0.49828884325804246,182,1.1455971277399848,0.03856725605494343,0.25980649694455804,102.78727550357318,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,495.0,11.18,910576013,GLD   270219C00495000,0.49828884325804246,182,1.1692176870748299,0.03856725605494343,0.26245589835541316,96.67789806861227,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-02-19,505.0,9.63,910576122,GLD   270219C00505000,0.49828884325804246,182,1.192838246409675,0.03856725605494343,0.26568977681109684,90.40078623989906,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,360.0,79.03,848877733,GLD   270319C00360000,0.5749486652977412,210,0.8503401360544217,0.038783776638063136,0.26780040026186036,76.92109042816931,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,370.0,71.1,848877838,GLD   270319C00370000,0.5749486652977412,210,0.8739606953892668,0.038783776638063136,0.2631819429134018,86.44513354330032,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,445.0,27.1,848878548,GLD   270319C00445000,0.5749486652977412,210,1.0511148904006047,0.038783776638063136,0.2520131033672951,127.9147531109115,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,455.0,23.58,848878642,GLD   270319C00455000,0.5749486652977412,210,1.0747354497354498,0.038783776638063136,0.2537886250314303,126.38756889144128,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,465.0,20.45,848878710,GLD   270319C00465000,0.5749486652977412,210,1.0983560090702948,0.038783776638063136,0.2554019694260322,123.3999531357812,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,475.0,17.68,848878797,GLD   270319C00475000,0.5749486652977412,210,1.1219765684051397,0.038783776638063136,0.2568750873851591,119.18998990258928,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,485.0,15.38,848878878,GLD   270319C00485000,0.5749486652977412,210,1.1455971277399848,0.038783776638063136,0.25945651292083793,114.17471869832127,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,495.0,13.28,848878938,GLD   270319C00495000,0.5749486652977412,210,1.1692176870748299,0.038783776638063136,0.26114439888345087,108.37145565367399,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-19,505.0,11.73,848879001,GLD   270319C00505000,0.5749486652977412,210,1.192838246409675,0.038783776638063136,0.2655305983402767,102.70284499027612,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,360.0,80.0,870310797,GLD   270331C00360000,0.6078028747433265,222,0.8503401360544217,0.03887333473819815,0.2680134081008845,80.38897339132687,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,370.0,72.13,870310854,GLD   270331C00370000,0.6078028747433265,222,0.8739606953892668,0.03887333473819815,0.2634558300915175,89.90107970042207,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,381.0,63.83,870310920,GLD   270331C00381000,0.6078028747433265,222,0.8999433106575964,0.03887333473819815,0.258304527189117,100.02313982218284,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,392.0,56.15,870311204,GLD   270331C00392000,0.6078028747433265,222,0.9259259259259259,0.03887333473819815,0.2549290998463519,109.62061024632519,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,402.0,49.7,870311451,GLD   270331C00402000,0.6078028747433265,222,0.9495464852607709,0.03887333473819815,0.252742845201958,117.28064187566288,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,413.0,43.2,870311701,GLD   270331C00413000,0.6078028747433265,222,0.9755291005291005,0.03887333473819815,0.2510231179573573,124.0590512803668,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,423.0,37.78,870311957,GLD   270331C00423000,0.6078028747433265,222,0.9991496598639455,0.03887333473819815,0.24951179791027683,128.43793010463918,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,434.0,32.58,870312222,GLD   270331C00434000,0.6078028747433265,222,1.0251322751322751,0.03887333473819815,0.24958931965092201,131.12846204921803,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,445.0,28.0,870312471,GLD   270331C00445000,0.6078028747433265,222,1.0511148904006047,0.03887333473819815,0.25016192257041114,131.58453605144382,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,455.0,24.4,870312694,GLD   270331C00455000,0.6078028747433265,222,1.0747354497354498,0.03887333473819815,0.2514882297751494,130.2195238946494,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,465.0,21.25,870312917,GLD   270331C00465000,0.6078028747433265,222,1.0983560090702948,0.03887333473819815,0.25316301229121163,127.39930977192314,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,475.0,18.52,870312975,GLD   270331C00475000,0.6078028747433265,222,1.1219765684051397,0.03887333473819815,0.2552341950197705,123.4051916810169,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,485.0,16.18,870313035,GLD   270331C00485000,0.6078028747433265,222,1.1455971277399848,0.03887333473819815,0.2577814230744727,118.54759892396633,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,495.0,14.15,870313107,GLD   270331C00495000,0.6078028747433265,222,1.1692176870748299,0.03887333473819815,0.2604672477827409,113.06749581274802,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-03-31,505.0,12.43,870313175,GLD   270331C00505000,0.6078028747433265,222,1.192838246409675,0.03887333473819815,0.26362271044598884,107.27220772723324,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-06-17,360.0,85.78,800379157,GLD   270617C00360000,0.8213552361396304,300,0.8503401360544217,0.03941139652184302,0.2660094096391462,99.57982805912067,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-06-17,370.0,77.78,800379260,GLD   270617C00370000,0.8213552361396304,300,0.8739606953892668,0.03941139652184302,0.257930739036482,108.31466463072712,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-06-17,445.0,34.0,800380075,GLD   270617C00445000,0.8213552361396304,300,1.0511148904006047,0.03941139652184302,0.24409499887833375,152.99199086125242,423.36,2026-08-21
2026-08-21,2026-08-21 20:00:00+00:00,2027-06-17,455.0,30.33,800824420,GLD   270617C00455000,0.8213552361396304,300,1.0747354497354498,0.03941139652184302,0.24575042889835313,152.72612211974948,423.36,2026-08-21
