model,comparator,r2_oos_pairwise,interpretation,first_target,last_target
Black-Scholes,Heston,0.20344786838598572,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Black-Scholes,Bates,0.14167385878340266,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Black-Scholes,Full Bates-Hawkes,0.03765805120313881,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Heston,Black-Scholes,-0.2554106132058793,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Heston,Bates,-0.07755174727536462,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Heston,Full Bates-Hawkes,-0.2081342960528083,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Bates,Black-Scholes,-0.16505830590525084,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Bates,Heston,0.07197032297656003,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Bates,Full Bates-Hawkes,-0.12118448056682873,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Full Bates-Hawkes,Black-Scholes,-0.03913167377793281,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Full Bates-Hawkes,Heston,0.1722774502245491,positive means model has lower OOS SSE,2026-02-11,2026-08-10
Full Bates-Hawkes,Bates,0.108086120230243,positive means model has lower OOS SSE,2026-02-11,2026-08-10
