percentile,GBM / BS,Heston,Bates,Full Bates--Hawkes
0,-82.23307105706277,-80.02741040100403,-88.82607366513645,-92.1803585999135
1,-69.61813853250534,-65.75139947379985,-67.95210656610647,-71.75253113928757
2,-65.3219054393586,-60.79068069151055,-62.92492225959689,-65.9277141785204
3,-62.29235998757831,-57.075250076773,-59.81532161677651,-62.965562658286856
4,-59.59646972149508,-54.16843792796845,-57.040390885717315,-59.2598487839942
5,-57.60445800747753,-51.69415920421399,-53.7480367601498,-57.324774375118594
6,-55.22592580517411,-49.53078684145091,-50.71214509212665,-55.04585878758319
7,-52.91854492929435,-46.88217217543069,-48.69185225581512,-52.446860963186296
8,-50.7969099003374,-45.30978323463954,-47.29799065406841,-50.324307143668854
9,-49.01613764680411,-43.74157986158427,-45.55626375320981,-48.18677429545079
10,-47.478754292145524,-41.70158260664552,-43.802690791112184,-46.21124989044206
11,-45.634244016717524,-39.74976265481011,-42.638573342476995,-44.909017596582814
12,-43.81306467701327,-38.20247025471008,-41.32688720867964,-43.352519476722776
13,-42.73233828607142,-36.87776814245256,-40.252083536315695,-42.134055185685725
14,-41.118320068192475,-35.31361168447188,-39.359938628560876,-40.89697235326352
15,-39.78826832676074,-33.90990090180708,-37.52159064116039,-39.64985618217396
16,-38.47997261141709,-32.60408063521391,-35.97820211945191,-38.10713836462971
17,-37.21692425297016,-31.415046914013864,-34.67431987260605,-36.587354842783384
18,-35.66365356998636,-30.075393851791425,-33.203542627404545,-34.771990892131
19,-33.76687394374109,-28.63463819100923,-32.518405736492745,-33.20983806042651
20,-32.45980110352453,-27.23100939121833,-31.357096215800595,-32.09372548434972
21,-30.86907615845199,-26.103183014078798,-30.10869919761306,-31.05123907773829
22,-29.4626858770478,-25.148329110328604,-28.8950947762789,-29.85758098617313
23,-28.122302768457974,-24.059201489145924,-27.82226785669214,-28.49467105495682
24,-27.034265792390354,-22.726387240862238,-26.698100801626854,-26.94429519217766
25,-25.75055825322093,-21.730762982600098,-25.570904466948775,-25.638537412241483
26,-24.01173683554548,-20.55186155417136,-24.146817057256857,-24.74518776794148
27,-22.621521807369497,-19.30795560925495,-22.901504666598967,-23.496335949672922
28,-21.230589928085507,-18.106366251751428,-21.555507981623624,-22.093510545753272
29,-19.92975205963709,-17.002501685372305,-19.981656061514375,-20.925906263556207
30,-18.341581137668257,-15.909694937989883,-18.826167668889205,-19.702746610157966
31,-17.24934723379896,-14.822000978748095,-17.54187827562104,-18.250665817861567
32,-15.91012481009591,-13.688502878009453,-16.54273252116602,-16.68075644892739
33,-14.797950467593177,-12.544133542316846,-15.433609748588006,-15.624970349721496
34,-13.516590524729654,-11.337510440895198,-14.256170283670233,-14.121902576156403
35,-12.21522419361539,-10.186264767558,-13.116107888643837,-13.03531183373425
36,-11.052040351886744,-9.192061344413366,-12.16160696522827,-11.68082235289063
37,-9.787694750137618,-7.932551598413548,-10.489673144830245,-10.284119819769376
38,-8.285616534403019,-6.934613339877085,-9.194452493439394,-8.970084497202205
39,-7.072958650122727,-6.073305239397102,-8.058973901934122,-7.750169981645164
40,-5.53371451258503,-4.82795689622505,-6.668218023853001,-6.499066634132655
41,-4.312177248983532,-3.5965790438162077,-5.421349135264781,-5.053125098133562
42,-2.88297629602895,-2.146740328446126,-4.210389242481714,-3.851692217817654
43,-1.8756436673937318,-1.3448420396458542,-3.127994506631163,-2.6424194680223425
44,-0.8834176043761973,-0.2017154939710637,-1.5149957483419367,-1.5072593414705868
45,0.1390756606978849,0.8033905139144093,-0.28391305707262393,-0.23818396129716424
46,1.6948979381267297,2.140924474048473,1.6490595999798339,1.182190035424215
