model,parameter,minimum,median,maximum,last
Black-Scholes,sigma,0.2025218661286162,0.2473489675619809,0.336487319321772,0.266940349020941
Heston,v0,0.0293236271216551,0.1383017506216498,0.2450609781720448,0.1383017506216498
Heston,kappa,7.772262035451666,7.851487415737452,7.854048161584568,7.851487415737452
Heston,theta,0.056196213020852,0.0689487817980925,0.0868825052047609,0.0689487817980925
Heston,xi,0.01,0.9895812454506124,1.0405291814286806,1.0405291814286806
Heston,rho,-0.5289081506642762,-0.1918963522576657,0.8947327162897798,-0.5289081506642762
Bates,v0,0.0180570262373438,0.070025785292824,0.2458863398072485,0.0870413770249028
Bates,kappa,8.01782752223971,8.030006382634442,8.031444023312455,8.03036495992365
Bates,theta,0.0310164212939728,0.0562325383338849,0.0870262913695918,0.0646566208965235
Bates,sigma,0.01,0.0100287615835424,0.4477146169580644,0.4130907267217939
Bates,rho,0.4741907531456194,0.4768506834439985,0.6968391971780519,0.5201152860091673
Bates,lambd,0.0,0.1011027893661464,0.4286773669502646,0.3407860562422131
Bates,mu_J,-0.200395202008317,0.1274233544639443,0.3473283721070929,0.0095281441284055
Bates,sigma_J,0.0038475184855002,0.0075009099996256,0.2647242067848452,0.0039202151567782
Full Bates-Hawkes,v0,0.0212711729490745,0.0604251134328016,0.2463771166400938,0.0901629729131231
Full Bates-Hawkes,kappa,8.018112513766583,8.02646728669035,8.035350510435128,8.033556849501272
Full Bates-Hawkes,theta,0.0266935822623066,0.0566431752684068,0.086596992378542,0.0644872488801518
Full Bates-Hawkes,xi,0.01,0.0262727601238135,0.176574399300878,0.063990126805478
Full Bates-Hawkes,rho,0.642636144295069,0.6456620385243048,0.678737379194487,0.6456256652085652
Full Bates-Hawkes,lambda0,0.001,0.5405670729317781,0.6347446646995631,0.0138794828508266
Full Bates-Hawkes,lambda_bar,0.001,0.1427843395780179,0.1934215074376322,0.001
Full Bates-Hawkes,branching_ratio,0.6430124253887132,0.7043593616481071,0.7259528898727503,0.6489311237916265
Full Bates-Hawkes,beta,8.640878934841894,8.649555081232972,8.652743382997038,8.652654573670318
Full Bates-Hawkes,mu_J,-0.4878866584016097,-0.024529245712293,0.4588837064329156,0.3815691332621201
Full Bates-Hawkes,sigma_J,0.0011660930889761,0.0184446030149139,0.4268819359832145,0.0011743784208348
