percentile,GBM / BS,Heston,Bates,Full Bates--Hawkes
0,-82.84591493800968,-91.13624686652669,-94.79849954052084,-91.06229981330888
1,-70.40135759597639,-72.58091831327782,-77.34379788291933,-74.02194431747532
2,-66.14096061819835,-68.28104001010102,-72.20038704451422,-69.1951947161222
3,-63.13129046900719,-64.46578895153131,-68.04971690637021,-65.2423890883339
4,-60.44966583411419,-61.67928650012536,-64.50797862894522,-62.09066344157152
5,-58.466256530942076,-58.84832935249826,-61.52892525850453,-58.94352441350469
6,-56.095956304952075,-57.02826513905801,-58.19493633006823,-56.14137214210866
7,-53.79454299502755,-54.89807677921154,-55.83206144551744,-54.43982991572343
8,-51.67672464285601,-52.60380790595092,-53.92691399414622,-52.73635575559897
9,-49.89797187104306,-50.175926968658246,-51.85677816423764,-50.592047217846506
10,-48.36149354137038,-48.50420541352892,-50.41273221538427,-48.91474244613822
11,-46.51707450982012,-46.798405521485975,-48.69676888108105,-47.365037778307624
12,-44.69496034035503,-44.99553237606077,-47.103372342984635,-46.28113680658776
13,-43.613207688483534,-43.32548098526807,-45.166212020232756,-44.63325941506711
14,-41.99702321605863,-41.65530469670011,-43.530672834612425,-43.194685886663684
15,-40.664627255690945,-40.13755871899996,-42.00860655160007,-41.468688661422874
16,-39.35354455848048,-38.726204794589634,-40.83644968659435,-39.77299812671029
17,-38.08736245665105,-37.594314522084794,-39.26647239509443,-38.59549061771194
18,-36.5296535800956,-36.34146643394214,-37.842937782742446,-37.055447915458174
19,-34.626601652822984,-35.180896037174506,-36.79850261118304,-35.5759186794661
20,-33.31467352504857,-34.33927948256611,-35.26778610871181,-34.194263774403986
21,-31.717466637403863,-33.2501741094207,-33.89348540920337,-32.91587702460619
22,-30.30483223417286,-31.970880867369026,-32.19498788282674,-31.742086229972102
23,-28.958058890534083,-30.57030125576588,-30.89304263685716,-30.247437364388755
24,-27.86452511204912,-29.499844984571276,-29.591516114825186,-29.076580524775714
25,-26.573981211161396,-28.288539426177692,-28.342627929446607,-27.51237649853469
26,-24.825304908953573,-26.854425363440814,-27.108475806047263,-26.26047634266624
27,-23.42672765224476,-25.727666201385944,-25.668922175524884,-25.282727021917456
28,-22.0270083008186,-24.04936554850206,-24.47652055712773,-23.904112811068728
29,-20.71757721601109,-22.97311132896153,-23.38377537056645,-22.23144847062527
30,-19.118432433779233,-21.76446125209994,-22.2351308677551,-20.961477270783213
31,-18.01834849532775,-20.134079814840774,-20.645608536617935,-19.75221720295947
32,-16.669169218382912,-18.495123117927807,-19.626979627271417,-18.393045949903687
33,-15.548452464253492,-17.445975693853335,-18.555318760826747,-17.355228854550514
34,-14.256946821794545,-16.209839340330824,-17.456600346067177,-15.949874361460768
35,-12.944948519392744,-15.07773777302584,-16.392567583094483,-15.025700494218219
36,-11.771985556092416,-13.940087620528471,-15.065153379079572,-13.819259899792712
37,-10.496719294898035,-12.51935500213742,-13.726684906636013,-12.874431872969199
38,-8.981278063925282,-11.210984305254872,-12.227321644191337,-11.735200434796674
39,-7.757528384652069,-9.951276423886062,-10.985153149212385,-10.477291054213927
40,-6.203820500957979,-8.540646148955322,-9.783627434020769,-9.243329317006932
41,-4.970502659717039,-7.282748233233618,-8.694129390107522,-8.01369702973225
42,-3.5271839639386275,-5.95019241421106,-7.6679895648426335,-6.614314208669747
43,-2.509686750097063,-4.653134614830402,-6.115917724562297,-5.418035938830376
44,-1.507277471592001,-3.506621486359585,-4.2324045350998345,-4.004029538683689
45,-0.4741145696081722,-2.2707058318527733,-2.9115571114512657,-2.346623050152688
46,1.098281061590232,-0.7152821576275039,-0.871055631373793,-1.1670118551900666
47,2.863406895434318,0.5073010756536614,0.4547396441930817,0.381077173831589
48,4.1851010313235495,1.6563382366279007,1.9650899196482936,2.0905706220020863
49,6.056674057308515,3.0607040516754767,3.521801463410551,3.4323169201014503
50,7.636536220807599,4.493910568709825,5.113075542801459,5.031942231654519
51,8.936557289669327,6.576642673602915,6.414881502098505,6.575150651112468
52,10.27891785888581,8.178202762278227,8.145752317823389,8.31275080351115
53,11.606772126021088,9.742779137479047,9.990090156547934,9.886060732690659
54,13.049206841876956,11.076536224598804,11.698537318744611,11.376580678514902
55,14.706963905710683,12.955171310177288,13.2536407606327,12.605015295614681
56,16.12904443375239,14.600231470999343,15.013435607194914,14.289843312727855
57,17.837631410370502,16.28658303712525,16.65984957419973,16.087909686529187
58,19.187287330655906,18.026232580403533,18.068326710627982,17.57799273713459
59,20.98349908084125,19.842122805402546,19.82644091381075,18.89747264467275
60,22.421476807746423,21.910745838829126,21.412698969762523,20.212314632139282
61,24.02039848622127,23.480451032338873,23.200629866421767,22.044837863000286
62,26.365533820124043,24.99901129844668,25.11259490442897,24.183508647067598
63,28.022696150392356,26.8993532283571,26.634226984317674,25.953456517680994
64,30.419962494021128,28.682921453905212,28.357121018876413,27.976940578268906
65,32.06167302586826,30.44236863544899,30.47012529978187,30.769721359367015
66,33.951818402297675,32.525468211641524,32.10538504367267,32.78554508107324
67,35.44967150982107,35.20714458373063,33.536690639658886,34.913902779424355
68,37.334018026802156,38.09798788543746,35.246677636153855,36.75288168318975
69,39.973374586612756,40.650875194422404,37.56535415778339,39.29258151866783
70,41.82872255306106,42.978597060058284,39.63345940570247,41.64991159908834
71,44.23337607260673,44.716494878469376,41.46798845678973,44.35913996152866
72,46.37919974301094,47.62386395434635,43.290612943511775,46.4742594443667
73,48.85641216905237,50.067707280803596,45.80733068269908,48.0750080115414
74,51.47189997447448,52.77350597683075,48.7030600262545,50.4129401886185
75,53.675727943834424,55.7358705060555,52.14411664694548,52.808566952225455
76,57.28150901718382,58.45377455664823,55.409141594743254,55.94901446637917
77,60.58113242543253,61.04555264366754,58.623638163052085,58.561770137332736
78,63.62409256991525,63.94549802344195,61.53726769708411,61.5903395485974
79,67.40956600417977,67.03882631679528,64.0327635730319,64.50153869368692
80,71.09522070945917,70.630830447764,67.35654863256313,67.78847607429934
81,73.90195552911399,73.97212377480524,70.77460961142094,70.66892088309851
82,76.94268383382796,77.90098643155001,75.76502811077305,74.138198216406
83,81.60091536664464,81.30105598452377,80.16923881408027,77.56889081394856
84,86.26251676999742,85.15515897460915,84.19817249736177,83.02726461607834
85,90.10770751766228,89.81558563161343,89.08013326770636,87.33600746315747
86,95.14712572555408,96.21650034046759,93.56114624321899,92.37658040847704
87,100.13742718157873,101.246116161776,98.333610198518,97.3109559345165
88,106.41655516228575,107.4711779573082,104.11289437732286,103.74773605826661
89,112.08528642681483,112.75516161129352,109.08715985380786,107.85160115134502
90,117.05906665678911,118.77360746165502,114.70895776762633,113.53766782172625
91,121.64868096256286,125.34856233248078,123.06712308141513,121.23281649761287
92,129.2950865521966,132.49457874633927,131.86850036068284,130.69711744390062
93,138.48888600958654,140.9471394701816,143.5307265490075,140.90440115290335
94,148.13117526350317,154.26379629750375,155.00236330793663,148.56558735952302
95,162.159334094976,166.33278156282427,165.27424247135866,162.294963892417
96,178.12448557805521,185.81186950542067,183.6354593403929,176.38919729413223
97,205.6555763648278,209.40146217696014,204.8628230033107,198.13458531261045
98,232.0746820319909,236.95170596318349,247.72473113224936,227.7419925969635
99,286.14240315002417,293.54464363857284,324.8378449226714,291.4290529842079
100,549.6289590845023,970.4471029819902,967.5304785644666,644.337681700111
