dte_bin,moneyness_bin,dte_low,dte_high,moneyness_low,moneyness_high,qualified_candidates,attempted_candidates,eligible_all_real,minimum_per_bin,maximum_per_bin,candidate_bin_exhausted,below_minimum
0,0,75.0,184.16666666666669,0.6,0.7,60,17,0,2,4,False,True
0,1,75.0,184.16666666666669,0.7,0.7999999999999999,63,17,0,2,4,False,True
0,2,75.0,184.16666666666669,0.7999999999999999,0.8999999999999999,88,17,0,2,4,False,True
0,3,75.0,184.16666666666669,0.8999999999999999,1.0,189,0,2,2,4,False,False
0,4,75.0,184.16666666666669,1.0,1.0999999999999999,275,0,7,2,4,False,False
0,5,75.0,184.16666666666669,1.0999999999999999,1.2,191,0,6,2,4,False,False
0,6,75.0,184.16666666666669,1.2,1.2999999999999998,72,17,0,2,4,False,True
0,7,75.0,184.16666666666669,1.2999999999999998,1.4,63,17,0,2,4,False,True
1,0,184.16666666666669,293.33333333333337,0.6,0.7,43,17,0,2,4,False,True
1,1,184.16666666666669,293.33333333333337,0.7,0.7999999999999999,58,17,0,2,4,False,True
1,2,184.16666666666669,293.33333333333337,0.7999999999999999,0.8999999999999999,62,17,0,2,4,False,True
1,3,184.16666666666669,293.33333333333337,0.8999999999999999,1.0,46,17,1,2,4,False,True
1,4,184.16666666666669,293.33333333333337,1.0,1.0999999999999999,57,17,1,2,4,False,True
1,5,184.16666666666669,293.33333333333337,1.0999999999999999,1.2,59,0,3,2,4,False,False
1,6,184.16666666666669,293.33333333333337,1.2,1.2999999999999998,44,17,0,2,4,False,True
1,7,184.16666666666669,293.33333333333337,1.2999999999999998,1.4,28,17,0,2,4,False,True
2,0,293.33333333333337,402.5,0.6,0.7,9,9,0,2,4,True,True
2,1,293.33333333333337,402.5,0.7,0.7999999999999999,14,14,0,2,4,True,True
2,2,293.33333333333337,402.5,0.7999999999999999,0.8999999999999999,20,17,0,2,4,False,True
2,3,293.33333333333337,402.5,0.8999999999999999,1.0,44,17,0,2,4,False,True
2,4,293.33333333333337,402.5,1.0,1.0999999999999999,42,17,0,2,4,False,True
2,5,293.33333333333337,402.5,1.0999999999999999,1.2,14,14,0,2,4,True,True
2,6,293.33333333333337,402.5,1.2,1.2999999999999998,16,16,0,2,4,True,True
2,7,293.33333333333337,402.5,1.2999999999999998,1.4,14,14,0,2,4,True,True
3,0,402.5,511.6666666666667,0.6,0.7,8,8,0,2,4,True,True
3,1,402.5,511.6666666666667,0.7,0.7999999999999999,7,7,0,2,4,True,True
3,2,402.5,511.6666666666667,0.7999999999999999,0.8999999999999999,8,8,0,2,4,True,True
3,3,402.5,511.6666666666667,0.8999999999999999,1.0,7,7,0,2,4,True,True
3,4,402.5,511.6666666666667,1.0,1.0999999999999999,8,8,0,2,4,True,True
3,5,402.5,511.6666666666667,1.0999999999999999,1.2,7,7,0,2,4,True,True
3,6,402.5,511.6666666666667,1.2,1.2999999999999998,8,8,0,2,4,True,True
3,7,402.5,511.6666666666667,1.2999999999999998,1.4,7,7,0,2,4,True,True
4,0,511.6666666666667,620.8333333333334,0.6,0.7,8,8,0,2,4,True,True
4,1,511.6666666666667,620.8333333333334,0.7,0.7999999999999999,7,7,0,2,4,True,True
4,2,511.6666666666667,620.8333333333334,0.7999999999999999,0.8999999999999999,8,8,0,2,4,True,True
4,3,511.6666666666667,620.8333333333334,0.8999999999999999,1.0,7,7,0,2,4,True,True
4,4,511.6666666666667,620.8333333333334,1.0,1.0999999999999999,8,8,0,2,4,True,True
4,5,511.6666666666667,620.8333333333334,1.0999999999999999,1.2,7,7,0,2,4,True,True
4,6,511.6666666666667,620.8333333333334,1.2,1.2999999999999998,8,8,0,2,4,True,True
4,7,511.6666666666667,620.8333333333334,1.2999999999999998,1.4,7,7,0,2,4,True,True
5,0,620.8333333333334,730.0,0.6,0.7,8,8,0,2,4,True,True
5,1,620.8333333333334,730.0,0.7,0.7999999999999999,7,7,0,2,4,True,True
5,2,620.8333333333334,730.0,0.7999999999999999,0.8999999999999999,8,8,0,2,4,True,True
5,3,620.8333333333334,730.0,0.8999999999999999,1.0,7,7,0,2,4,True,True
5,4,620.8333333333334,730.0,1.0,1.0999999999999999,8,8,0,2,4,True,True
5,5,620.8333333333334,730.0,1.0999999999999999,1.2,7,7,0,2,4,True,True
5,6,620.8333333333334,730.0,1.2,1.2999999999999998,8,8,0,2,4,True,True
5,7,620.8333333333334,730.0,1.2999999999999998,1.4,7,7,0,2,4,True,True
