p,d,q,AIC,BIC,loglik,nobs
2,1,0,-28909.413999773635,-28883.59783826799,14458.706999886817,4695
0,1,2,-28909.37969460927,-28883.563533103625,14458.689847304635,4695
0,1,1,-28909.355985668735,-28889.9938645395,14457.677992834368,4695
1,1,0,-28909.354825928956,-28889.992704799723,14457.677412964478,4695
3,1,0,-28907.605928571735,-28875.33572668968,14458.802964285867,4695
0,1,3,-28907.569367197324,-28875.299165315268,14458.784683598662,4695
1,1,2,-28907.503773335968,-28875.23357145391,14458.751886667984,4695
2,1,1,-28907.482480149192,-28875.212278267136,14458.741240074596,4695
1,1,1,-28907.26735320895,-28881.451191703305,14457.633676604475,4695
3,1,1,-28905.606624356788,-28866.882382098323,14458.803312178394,4695
1,1,3,-28905.49181961282,-28866.767577354356,14458.74590980641,4695
2,1,2,-28904.51633280082,-28865.792090542356,14458.25816640041,4695
2,1,3,-28904.419948714498,-28859.241666079623,14459.209974357249,4695
3,1,2,-28902.935274379677,-28857.7569917448,14458.467637189839,4695
3,1,3,-28902.673157865825,-28851.04083485454,14459.336578932913,4695
