p,d,q,AIC,BIC,loglik,nobs
1,1,0,-23448.942368716824,-23429.58024758759,11727.471184358412,4695
0,1,1,-23448.93936551011,-23429.577244380875,11727.469682755054,4695
2,1,0,-23446.990645936603,-23421.174484430958,11727.495322968301,4695
0,1,2,-23446.984556519554,-23421.16839501391,11727.492278259777,4695
1,1,1,-23446.753983044666,-23420.93782153902,11727.376991522333,4695
0,1,3,-23446.162636390844,-23413.892434508787,11728.081318195422,4695
3,1,0,-23446.134737921006,-23413.86453603895,11728.067368960503,4695
1,1,2,-23444.964267519208,-23412.69406563715,11727.482133759604,4695
2,1,1,-23444.75428921423,-23412.484087332174,11727.377144607115,4695
1,1,3,-23444.444346599594,-23405.72010434113,11728.222173299797,4695
3,1,1,-23444.141639075126,-23405.41739681666,11728.070819537563,4695
3,1,2,-23444.133468590106,-23398.95518595523,11729.066734295053,4695
2,1,3,-23442.846841068298,-23397.668558433423,11728.423420534149,4695
2,1,2,-23442.846737848995,-23404.12249559053,11727.423368924497,4695
3,1,3,-23441.456020146346,-23389.82369713506,11728.728010073173,4695
