p,q,AIC,BIC,loglik,nobs
2,0,-28909.413998459517,-28883.59783695387,14458.706999229758,4694
0,2,-28909.379695273175,-28883.56353376753,14458.689847636588,4694
0,1,-28909.355984624563,-28889.99386349533,14457.677992312281,4694
1,0,-28909.354823662034,-28889.9927025328,14457.677411831017,4694
3,0,-28907.605926591415,-28875.33572470936,14458.802963295708,4694
0,3,-28907.56936878925,-28875.299166907193,14458.784684394624,4694
1,2,-28907.50376968649,-28875.233567804433,14458.751884843245,4694
2,1,-28907.482480602943,-28875.212278720886,14458.741240301471,4694
1,1,-28907.267352661212,-28881.451191155567,14457.633676330606,4694
3,1,-28905.606625494962,-28866.882383236498,14458.803312747481,4694
1,3,-28905.49181677166,-28866.767574513196,14458.74590838583,4694
2,2,-28904.51633237712,-28865.792090118655,14458.25816618856,4694
2,3,-28904.41994909419,-28859.241666459315,14459.209974547095,4694
3,2,-28902.915134559662,-28857.736851924787,14458.457567279831,4694
3,3,-28902.673154208613,-28851.040831197326,14459.336577104306,4694
