p,q,AIC,BIC,loglik,nobs
1,0,-23448.942368870128,-23429.580247740894,11727.471184435064,4694
0,1,-23448.93936604229,-23429.577244913056,11727.469683021145,4694
2,0,-23446.990645934522,-23421.174484428877,11727.495322967261,4694
0,2,-23446.984556707084,-23421.16839520144,11727.492278353542,4694
1,1,-23446.753983713916,-23420.93782220827,11727.376991856958,4694
0,3,-23446.16263657069,-23413.892434688634,11728.081318285345,4694
3,0,-23446.134738951878,-23413.86453706982,11728.067369475939,4694
1,2,-23444.964267758915,-23412.694065876858,11727.482133879457,4694
2,1,-23444.754288841516,-23412.48408695946,11727.377144420758,4694
1,3,-23444.444347287383,-23405.72010502892,11728.222173643691,4694
3,1,-23444.141639640824,-23405.41739738236,11728.070819820412,4694
3,2,-23444.133186314768,-23398.954903679893,11729.066593157384,4694
2,3,-23442.846841678183,-23397.668559043308,11728.423420839092,4694
2,2,-23442.846740142966,-23404.122497884502,11727.423370071483,4694
3,3,-23441.456250090923,-23389.823927079637,11728.728125045462,4694
