p,AIC,BIC,R2,nobs
1,-28907.705258431,-28894.797603799412,5.845304567486664e-06,4693
2,-28900.623649938978,-28881.262807309657,0.00044425129622427395,4692
3,-28893.575007254818,-28867.761403021505,0.0005086334915762603,4691
4,-28885.029691605072,-28852.76375229787,0.0005489968899086151,4690
5,-28876.27742331854,-28837.559575604002,0.0005606607822695731,4689
6,-28878.8972687598,-28833.727939441003,0.0014530639282255287,4688
7,-28870.93576052384,-28819.315376540457,0.0015456155416320172,4687
8,-28862.75328813048,-28804.68227655887,0.001616899993069909,4686
9,-28853.729002361768,-28789.207790415043,0.0016447332703813933,4685
10,-28867.92815893935,-28796.957173967457,0.0016097831443183663,4684
