p,AIC,BIC,R2,nobs
1,-23448.029756090516,-23435.12210145893,4.01255080224594e-05,4693
2,-23442.5867830603,-23423.225940430977,5.862434978920472e-05,4692
3,-23435.806249902933,-23409.99264566962,0.00030322601796761717,4691
4,-23428.60038464741,-23396.334445340206,0.00047182340962403924,4690
5,-23420.99364372569,-23382.275796011152,0.0005550814847878893,4689
6,-23416.077968383575,-23370.90863906478,0.0005535808719052682,4688
7,-23408.273163974955,-23356.65277999157,0.0005932374974246812,4687
8,-23401.86933683504,-23343.79832526343,0.0006576556165147629,4686
9,-23396.710361415222,-23332.189149468497,0.000866139857743975,4685
10,-23408.493192108876,-23337.522207136983,0.00106246741601157,4684
