metric,value
antithetic_call_estimate,3.239104538
antithetic_variance_ratio,0.4294750066
asian_mc_price,6.217149502
asian_mc_standard_error,0.1379491325
asian_qmc_price,6.122875504
asian_qmc_standard_error,0.1367698399
black_scholes_call,10.45058357
box_muller_qq_rmse,0.01570015727
importance_plain_estimate,0.06157625141
importance_shifted_estimate,0.06045357324
importance_variance_ratio,0.1927981354
lcg_chi_square,33.482
lcg_chi_square_dof,29
lcg_chi_square_p_value,0.2587265303
mc_call_final,10.41706185
mc_call_final_absolute_error,0.03352171804
mc_call_final_standard_error,0.04655652993
mixture_excess_kurtosis,7.854169351
mixture_mean,0.0001236955243
mixture_skewness,-0.2534408341
mixture_variance,0.0003238285296
terminal_wealth_cvar_5,67.55764224
terminal_wealth_loss_probability,0.417
terminal_wealth_var_5,74.14267088
